uid,timeOfFlight,hc,latitude,longitude,speed,datetime,bearing,direction
bilal,8190.0,0.0,33.980199166666665,9.093677666666666,4.2299679999999995,124707.00,301.08865583045383,left
bilal,8190.0,0.0,33.98021116666666,9.093659833333334,3.841048,124709.00,309.05835440831754,left
bilal,8191.0,0.0,33.98022183333333,9.0936435,4.004024,124711.00,308.22223300958217,left
bilal,8191.0,0.0,33.980231833333335,9.093626,3.2280360000000003,124713.00,304.5710048307271,left
bilal,8190.0,0.0,33.9802385,9.093606333333334,4.183668,124715.00,292.2343736653291,left
bilal,8190.0,0.0,33.980244166666665,9.093585833333334,3.1058040000000005,124717.00,288.4357407869162,left
bilal,8191.0,0.0,33.98024816666667,9.093571,1.957564,124719.00,288.01435603574225,left
bilal,8191.0,0.0,33.980266666666665,9.093558666666667,4.039212,124721.00,331.06530219074443,forward
bilal,8191.0,0.0,33.9802855,9.093552666666668,3.6688120000000004,124723.00,345.20171123628967,forward
bilal,8191.0,0.0,33.98030333333333,9.093542,3.641032,124725.00,333.6191458285725,forward
bilal,8191.0,0.0,33.9803215,9.093529833333333,3.72252,124727.00,330.95415242516634,forward
bilal,8191.0,0.0,33.9803375,9.093520166666666,3.4521280000000005,124729.00,333.38946185581955,forward
bilal,8191.0,0.0,33.980352833333335,9.0935105,3.242852,124731.00,332.4005580405468,forward
bilal,8190.0,0.0,33.980358833333334,9.093518666666666,2.466864,124733.00,48.459179898756304,right
bilal,164.0,0.0,33.9803625,9.093533166666667,2.8743040000000004,124735.00,73.04090353751042,right
bilal,8191.0,0.0,33.98036233333333,9.093556666666666,4.272564,124737.00,90.49001858367512,right
bilal,8191.0,0.0,33.98035,9.093569166666667,3.892904,124739.00,139.95512605078363,backward
bilal,8191.0,0.0,33.980334,9.0935755,3.789192,124741.00,161.82826764927665,backward
bilal,8190.0,0.0,33.98031533333333,9.0935835,3.39842,124743.00,160.4355939219314,backward
bilal,8191.0,0.0,33.9803035,9.093589666666666,3.066912,124745.00,156.6291942688756,backward
bilal,8190.0,0.0,33.98029,9.093589333333334,3.6114,124747.00,181.17295642449534,backward
bilal,8190.0,0.0,33.98028466666667,9.093571833333334,3.3410080000000004,124749.00,249.82041278146914,left
bilal,8190.0,0.0,33.9802755,9.093551666666666,3.25952,124751.00,241.27049382021718,left
bilal,8190.0,0.0,33.9802665,9.093546666666667,2.659472,124753.00,204.73473957992,backward
bilal,8191.0,0.0,33.980264166666664,9.093565833333333,3.511392,124755.00,98.35191575317526,right
bilal,8191.0,0.0,33.98027183333333,9.093589833333333,3.57436,124757.00,68.93180375961094,right
bilal,8191.0,0.0,33.98028083333333,9.093612833333333,3.8725320000000005,124759.00,64.73789446580327,right
